id,title,author,text
NYT GW 1,Mr. Bush's Monument,,"Try this on a globe sometime, or Google Earth: Looking head-on at the planet, spin it until Hawaii is a little north and east of center. What you'll see -- besides the barest fringes of America and Asia up there, New Guinea and New Zealand down there, and lots of island dots -- is all blue. 
  This is the vast stage on which President Bush is trying to salvage his environmental legacy. 
  It's strange but true. Mr. Bush, who has been monumentally indifferent to the health of continents and the atmosphere, is going down in history as a protector of the oceans. 
  On Tuesday, he designated three huge areas of the western Pacific as national monuments, declaring that their fish, birds, reefs and other marine life were more important than commercial fishing, drilling and mineral extraction. The protected waters encircle the Northern Mariana Islands (including the Mariana Trench, the deepest canyon on Earth) and parts of a sprawling collection of reefs and atolls known as the Line Islands. 
  They are a dazzling world of undersea volcanoes, pristine reefs, endangered seals, turtles and whales and intact food chains ruled by sharks.
  In protecting nearly 200,000 square miles of ocean, an area far bigger than California, Mr. Bush has outdone his decision in 2006 to set aside 140,000 square miles in the Northwest Hawaiian Islands. 
  That created a single monument larger than all the country's national parks combined. If you judge the actions of presidential conservationists solely by the sheer size of planetary surface they protected during their time in office, Mr. Bush would outdo even Thomas Jefferson and Theodore Roosevelt.
  This record, though, has enormous asterisks:
  The new monuments are not nearly as big as they could have been. Mr. Bush could have set their boundaries anywhere from 3 miles from the shores of the territories they encircle to the full 200 miles under United States jurisdiction. He chose 50 miles, excluding huge expanses of deep ocean.
  The protections could have been more stringent. They don't rule out recreational fishing, for example, and do not include waters above the Mariana Trench. 
  Big as they are, the monuments are not nearly enough to offset eight years of Mr. Bush's bad environmental policies, marked by inaction on climate change, the sacrifice of millions of acres of public lands to oil and gas exploration, and indifference bordering on hostility to endangered species and fragile ecosystems.
  Given that record, why did he create these new ocean monuments over the reported objections of Vice President Dick Cheney and the Western Pacific Regional Fishery Management Council, a notorious enabler of reckless overfishing by commercial fleets? 
  We can take him at his word that it was the right thing to do, but we have to note as well that the areas protected are staggeringly far away and not notably prized by the corporate interests whose priorities the Bush administration has for so long made its own. 
  There was no fight involved. All it took was Mr. Bush's signature under the Antiquities Act of 1906, which allows presidents to protect public lands by executive order. An environmental trophy was lying on the ground, and Mr. Bush, with just days left in his presidency, simply picked it up.
  It will be up to President-elect Barack Obama to take it from here. He should expand the monuments to the 200-mile limit and give them full protection against fishing and other exploitation. His administration should also work to create and expand marine protected areas closer to our shores. 
  But those are just the easy lifts in a huge list of environmental tasks ahead, starting with the long-neglected fight against global warming. Melting ice caps and ocean acidification are an urgent threat to the very fish, reefs and islands that Mr. Bush lately has seen fit to protect."
NYT GW 13,Mother Nature's Dow,THOMAS L. FRIEDMAN,"While I'm convinced that our current financial crisis is the product of both The Market and Mother Nature hitting the wall at once  --  telling us we need to grow in more sustainable ways  --  some might ask this: We know when the market hits a wall. It shows up in red numbers on the Dow. But Mother Nature doesn't have a Dow. What makes you think she's hitting a wall, too? And even if she is: Who cares? When my 401(k) is collapsing, it's hard to worry about my sea level rising.
  It's true, Mother Nature doesn't tell us with one simple number how she's feeling. But if you follow climate science, what has been striking is how insistently some of the world's best scientists have been warning  --  in just the past few months  --  that climate change is happening faster and will bring bigger changes quicker than we anticipated just a few years ago. Indeed, if Mother Nature had a Dow, you could say that it, too, has been breaking into new (scientific) lows. 
  Consider just two recent articles: 
  The Washington Post reported on Feb. 1, that ''the pace of global warming is likely to be much faster than recent predictions, because industrial greenhouse gas emissions have increased more quickly than expected and higher temperatures are triggering self-reinforcing feedback mechanisms in global ecosystems, scientists said. 'We are basically looking now at a future climate that's beyond anything we've considered seriously in climate model simulations,' Christopher Field, director of the Carnegie Institution's Department of Global Ecology at Stanford University, said.''
  The physicist and climate expert Joe Romm recently noted on his blog, climateprogress.org, that in January, M.I.T.'s Joint Program on the Science and Policy of Global Change quietly updated its Integrated Global System Model that tracks and predicts climate change from 1861 to 2100. Its revised projection indicates that if we stick with business as usual, in terms of carbon-dioxide emissions, average surface temperatures on Earth by 2100 will hit levels far beyond anything humans have ever experienced.
  ''In our more recent global model simulations,'' explained M.I.T., ''the ocean heat-uptake is slower than previously estimated, the ocean uptake of carbon is weaker, feedbacks from the land system as temperature rises are stronger, cumulative emissions of greenhouse gases over the century are higher, and offsetting cooling from aerosol emissions is lower. Not one of these effects is very strong on its own, and even adding each separately together would not fully explain the higher temperatures. But, rather than interacting additively, these different effects appear to interact multiplicatively, with feedbacks among the contributing factors, leading to the surprisingly large increase in the chance of much higher temperatures.''
  What to do? It would be nice to say, ''Hey, Mother Nature, we're having a credit crisis, could you take a couple years off?'' But as the environmental consultant Rob Watson likes to say, ''Mother Nature is just chemistry, biology and physics,'' and she is going to do whatever they dictate. You can't sweet talk Mother Nature or the market. You have to change the economics to affect the Dow and the chemistry, biology and physics to affect Mother Nature. 
  That's why we need a climate bailout along with our economic bailout. Hal Harvey is the C.E.O. of a new $1 billion foundation, ClimateWorks, set up to accelerate the policy changes that can avoid climate catastrophe by taking climate policies from where they are working the best to the places where they are needed the most. 
  ''There are five policies that can help us win the energy-climate battle, and each has been proven somewhere,'' Harvey explained. First, building codes: California's energy-efficient building and appliance codes now save Californians $6 billion per year,'' he said. Second, better vehicle fuel-efficiency standards: ''The European Union's fuel-efficiency fleet average for new cars now stands at 41 miles per gallon, and is rising steadily,'' he added.
  Third, we need a national renewable portfolio standard, mandating that power utilities produce 15 or 20 percent of their energy from renewables by 2020. Right now, only about half our states have these. ''Whenever utilities are required to purchase electricity from renewable sources,'' said Harvey, ''clean energy booms.'' (See Germany's solar business or Texas's wind power.)
  The fourth is decoupling -- the program begun in California that turns the utility business on its head. Under decoupling, power utilities make money by helping homeowners save energy rather than by encouraging them to consume it. ''Finally,'' said Harvey, ''we need a price on carbon.'' Polluting the atmosphere can't be free.
  These are the pillars of a climate bailout. Yes, some have upfront costs. But all of them would pay long-term dividends, because they would foster massive U.S. innovation in new clean technologies that would stimulate the real Dow and much lower emissions that would stimulate the Climate Dow."
NYT GW 15,Show Us the Ball,THOMAS L. FRIEDMAN,"I am really encouraged by President Obama's commitment to clean energy and combating climate change. I just have three worries: whether he has the right policies, the right politics and the right official to sell his program to the country. Other than that, things look great!
  Last week, House Democrats, with administration support, introduced a 600-page draft bill on energy and climate. At the center of it is a plan to reduce greenhouse-gas emissions through a complicated cap-and-trade system. These people have the very best of intentions, but I wish they would step back and ask again: Can cap-and-trade pass? Will it really work? And is it the best strategy, with all the bureaucracy it will require to monitor, auction emissions permits and manage the trading? 
 Advocates of cap-and-trade argue that it is preferable to a simple carbon tax because it fixes a national cap on carbon emissions and it ''hides the ball'' -- it doesn't use the word ''tax'' -- even though it amounts to one. So it can get through Congress. That was true as long as no one thought cap-and-trade could ever pass, but now that it might under Mr. Obama, opponents are not playing hide the ball anymore.
  In the past two weeks, you could hear a chorus of Republicans, coal-state Democrats, right-wing think tanks and enviro-skeptics all singing the same tune: ''Cap-and-trade is a tax. Obama is going to raise your taxes and sacrifice U.S. jobs to combat this global-warming charade, which many scientists think is nonsense. Worse, cap-and-trade will be managed by Wall Street. If you liked credit-default swaps, you're going to love carbon-offset swaps.''
  Some of the refrains from this song have a very catchy appeal. They could easily kill this effort. So, if the Obama team cares about the ''ends'' of a stronger America and a more livable planet, as much as the ''means,'' I hope it will consider an alternative strategy, message and messenger.
  STRATEGY Since the opponents of cap-and-trade are going to pillory it as a tax anyway, why not go for the real thing -- a simple, transparent, economy-wide carbon tax?
  Representative John B. Larson, chairman of the House Democratic Caucus, has circulated a draft bill that would impose ''a per-unit tax on the carbon-dioxide content of fossil fuels, beginning at a rate of $15 per metric ton of CO2 and increasing by $10 each year.'' The bill sets a goal, rather than a cap, on emissions at 80 percent below 2005 levels by 2050, and if the goal for the first five years is not met, the tax automatically increases by an additional $5 per metric ton. The bill implements a fee on carbon-intensive imports, as well, to press China to follow suit. Larson would use most of the income to reduce people's payroll taxes: We tax your carbon sins and un-tax your payroll wins.
  People get that -- and simplicity matters. Americans will be willing to pay a tax for their children to be less threatened, breathe cleaner air and live in a more sustainable world with a stronger America. They are much less likely to support a firm in London trading offsets from an electric bill in Boston with a derivatives firm in New York in order to help fund an aluminum smelter in Beijing, which is what cap-and-trade is all about. People won't support what they can't explain. 
  MESSAGE Climate change is a real threat to a healthy planet Earth -- the only home we have. But because the worst effects are in the future, many Americans have more immediate concerns. That is why our energy policy should be focused around ''American renewal,'' not mitigating climate change. 
  We need a price on carbon because it will stimulate massive innovation in the next great global industry -- E.T. -- energy technology. In a warming world with huge population growth, clean power systems are going to be in huge demand. The scientific research and innovation needed for America to dominate E.T. the way it did I.T. could be the foundation for a second American industrial revolution, plus it would tip the whole planet onto a greener path. So American economic renewal is the goal, but mitigating climate change would be the great byproduct.
  MESSENGER The Obama administration's carbon tax spokesman -- the one who should sell this to the country -- should be the president's national security adviser, Gen. James Jones, not the environmentalists. The imposing former head of the Marine Corps could make a powerful case that a carbon tax is vitally necessary to stimulate investments in the clean technologies that would enable the U.S. to dominate E.T., while also shifting consumers to buy these new, more efficient and cleaner power systems, homes and cars.
  He could make the case that the country with the most powerful clean-technology industry in the 21st century will have the most energy security, national security, economic security, healthy environment, innovative companies and global respect. That country must be America. So let's stop hiding the ball and have a strategy, message and messenger that tell it like it is -- and make it so."
NYT GW 16,Obama's Power Plays,DANIEL F. BECKER and JAMES GERSTENZANG,"WITH its announcement last week that global warming is a threat to public health, the Obama administration has made clear that it plans to  cut greenhouse gases substantially. This week, the House Energy and Commerce Committee began its own effort to deal with warming, but Congress's path to legislation is long and uncertain. President Obama can get started without waiting for Congress by taking these three steps:  
  First, he can tighten the Department of Energy's efficiency standards for consumer appliances -- everything from lamps to refrigerators to vending machines. During President Obama's first term, 20 of these standards are up for revision, and if properly improved, they could reduce carbon dioxide emissions by about 70 million tons annually by 2020.  
  Standards on lighting, for example, should be strengthened enough that manufacturers would be encouraged to produce more L.E.D. lamps, which use a small fraction of the electricity required by incandescent bulbs, and don't waste electricity by generating heat. 
  Second, the Obama administration can direct the United States Agency for International Development to ship simple solar-powered cooking stoves to villages in Africa and Asia to replace the omnipresent twig-and-dung-burning stoves that turn even the most remote settlements into major producers of black carbon -- a fine soot that increases global warming. The solar stoves cost as little as $20 each, and the United States Agency for International Development  could distribute 100 million of them under already existing programs. 
  Third and most important, President Obama can slash emissions from power plants and cars. For power plants, this will mean demanding more efficiency and, in many places, switching from coal to natural gas. The Clean Air Act authorizes the president to order that the 100 new coal-fired power plants on the drawing board be built to operate with cleaner natural gas. He can also order existing coal plants to switch to high-efficiency natural gas technology -- and thus cut their emissions by as much as two-thirds. As for cars, the administration can stand up to automakers by following California's example and requiring a 30 percent reduction in tailpipe emissions by 2016. 
  By taking these steps as soon as possible, President Obama can show the largest polluters -- the auto industry and utility companies -- that he is serious, and let scientists and engineers know that their work is urgent. Why wait for Congress?"
NYT GW 17,Don't Waste Time Cutting Emissions,BJORN LOMBORG,"  WE are often told that tackling global warming should be the defining task of our age -- that we must cut emissions immediately and drastically. But people are not buying the idea that, unless we act, the planet is doomed. Several recent polls have revealed Americans' growing skepticism. Solving global warming has become their lowest policy priority, according to a new Pew survey.  
  Moreover, strategies to reduce carbon have failed. Meeting in Rio de Janeiro in 1992, politicians from wealthy countries promised to cut emissions by 2000, but did no such thing. In Kyoto in 1997, leaders promised even stricter reductions by 2010, yet emissions have kept increasing unabated. Still, the leaders plan to meet in Copenhagen this December to agree to even more of the same -- drastic reductions in emissions that no one will live up to. Another decade will be wasted. 
  Fortunately, there is a better option: to make low-carbon alternatives like solar and wind energy competitive with old carbon sources. This requires much more spending on research and development of low-carbon energy technology. We might have assumed that investment in this research would have increased when the Kyoto Protocol made fossil fuel use more expensive, but it has not. 
  Economic estimates that assign value to the long-term benefits that would come from reducing warming -- things like fewer deaths from heat and less flooding -- show that every dollar invested in quickly making low-carbon energy cheaper can do $16 worth of good. If the Kyoto agreement were fully obeyed through 2099, it would cut temperatures by only 0.3 degrees Fahrenheit. Each dollar would do only about 30 cents worth of good.
  The Copenhagen agreement should instead call for every country to spend one-twentieth of a percent of its gross domestic product on low-carbon energy research and development. That would increase the amount of such spending 15-fold to $30 billion, yet the total cost would be only a sixth of the estimated $180 billion worth of lost growth that would result from the Kyoto restrictions.  
  Kyoto-style emissions cuts can only ever be an expensive distraction from the real business of weaning ourselves off fossil fuels. The fact is, carbon remains the only way for developing countries to work their way out of poverty. Coal burning provides half of the world's electricity, and fully 80 percent of it ok? in China and India, where laborers now enjoy a quality of life that their parents could barely imagine. 
  No green energy source is inexpensive enough to replace coal now. Given substantially more research, however, green energy could be cheaper than fossil fuels by mid-century. 
  Sadly, the old-style agreement planned for Copenhagen this December will have a negligible effect on temperatures. This renders meaningless any declarations of ''success'' that might be made after the conference. We must challenge the orthodoxy of Kyoto and create a smarter, more realistic strategy."
NYT GW 20,"The Perfect, The Good, The Planet",PAUL KRUGMAN,"In a way, it was easy to take stands during the Bush years: the Bushies and their allies in Congress were so determined to move the nation in the wrong direction that one could, with a clear conscience, oppose all the administration's initiatives. 
  Now, however, a somewhat uneasy coalition of progressives and centrists rules Washington, and staking out a position has become much trickier. Policy tends to move things in a desirable direction, yet to fall short of what you'd hoped to see. And the question becomes how many compromises, how much watering down, one is willing to accept.  
  There will be a lot of soul-searching later this year for advocates of health care reform. (For me the make-or-break issue is whether the legislation includes a public plan.) But right now it's the environmental community that has to decide how much it's willing to bend.
  If we're going to get real action on climate change any time soon, it will be via some version of legislation proposed by Representatives Henry Waxman and Edward Markey. Their bill would limit greenhouse gases by requiring polluters to receive or buy emission permits, with the number of available permits  --  the ''cap'' in ''cap and trade''  -- gradually falling over time.
  It goes without saying that the usual suspects on the right have denounced Waxman-Markey: global warming isn't real, emission limits will destroy the economy, yada yada. But the bill also faces opposition from some environmentalists, who are balking at the compromises the sponsors made to gain political support.
  So is Waxman-Markey --  whose language was released last week  --  good enough?
  Well, Al Gore has praised the bill, and plans to organize a grass-roots campaign on its behalf. A number of environmental organizations, ranging from the League of Conservation Voters to the Environmental Defense Fund, have also come out in strong support. 
  But Greenpeace has declared that it ''cannot support this bill in its current state.'' And some influential environmental figures  --  most notably James Hansen, the NASA scientist who first drew the public's attention to global warming  --  oppose the whole idea of cap and trade, arguing for a carbon tax instead.
  I'm with Mr. Gore. The legislation now on the table isn't the bill we'd ideally want, but it's the bill we can get  --  and it's vastly better than no bill at all. 
  One objection  --  the claim that carbon taxes are better than cap and trade  --  is, in my view, just wrong. In principle, emission taxes and tradable emission permits are equally effective at limiting pollution. In practice, cap and trade has some major advantages, especially for achieving effective international cooperation. 
  Not to put too fine a point on it, think about how hard it would be to verify whether China was really implementing a promise to tax carbon emissions, as opposed to letting factory owners with the right connections off the hook. By contrast, it would be fairly easy to determine whether China was holding its total emissions below agreed-upon levels. 
  The more serious objection to Waxman-Markey is that it sets up a system under which many polluters wouldn't have to pay for the right to emit greenhouse gases  --  they'd get their permits  free. In particular, in the first years of the program's operation more than a third of the allocation of emission permits would be handed over at no charge to the power industry. 
  Now, these handouts wouldn't undermine the policy's effectiveness. Even when polluters get free permits, they still have an incentive to reduce their emissions, so that they can sell their excess permits to someone else. That's not just theory: allowances for sulfur dioxide emissions are allocated to electric utilities free of charge, yet the cap-and-trade system for SO2 has been highly successful at controlling acid rain. 
  But handing out emission permits does, in effect, transfer wealth from taxpayers to industry. So if you had your heart set on a clean program, without major political payoffs, Waxman-Markey is a disappointment. 
  Still, the bill represents major action to limit climate change. As the Center for American Progress has pointed out, by 2020 the legislation would have the same effect on global warming as taking 500 million cars off the road. And by all accounts, this bill has a real chance of becoming law in the near future.
  So opponents of the proposed legislation have to ask themselves whether they're making the perfect the enemy of the good. I think they are.
  After all the years of denial, after all the years of inaction, we finally have a chance to do something major about climate change. Waxman-Markey is imperfect, it's disappointing in some respects, but it's action we can take now. And the planet won't wait."
NYT GW 22,Forests and the Planet,,"A major shortcoming of the 1997 Kyoto Protocol on climate change was its failure to address the huge amounts of greenhouse gas emissions caused by the destruction of the world's rain forests. A proposal that rich nations be allowed to offset some of their emissions by paying poorer counties to leave their rain forests intact was shot down after European environmental groups objected. They argued that it would allow rich countries to buy their way out of their own obligations. The planet has been paying for that colossal blunder ever since.  
  Deforestation accounts for one-fifth of the world's greenhouse gases -- about the same as  China's emissions, more than the emissions generated by all of the world's cars and trucks. And the world is doing far too little to stop it. An estimated 30 million acres of rain forest disappear every year, destroying biodiversity and pouring billions of tons of carbon dioxide into the atmosphere. 
  The global warming bill now working its way through the House seeks to change this destructive dynamic in two ways. It sets up a carbon trading system that is expected to raise upward of $60 billion annually through the sale of pollution allowances. Five percent of that would be set aside to help prevent deforestation, either through a special international fund or as bilateral grants to poor countries. 
  In addition, the bill would allow for the kinds of offsets proposed and rejected in Kyoto, Japan. For example, a power company having trouble meeting its emissions limits could satisfy some of its obligations by paying to reduce deforestation elsewhere in the world. 
  The economics make sense. It is  a relatively inexpensive way for industrialized nations to get credit for reducing global emissions while they make the necessary investments to control their own pollution. And it is   a good deal for  poor countries. The World Bank estimates that an acre of rain forest converted to crops is worth $100 to $250. It's worth far more under a system that puts a value on carbon. An average acre stores about 200 tons of carbon; assuming a low price of $10 a ton, that acre is suddenly worth $2,000. 
  A big effort will still be required to resist the loggers, miners, ranchers and politicians who have had their way with the rain forests for years. And any plan must include safeguards and inspection mechanisms to ensure that the allowances and offsets are being used properly.
  But with the rain forests shrinking and the planet warming up, it's crucial to get the right incentives in place -- first as part of broad climate change legislation in the United States, then as part of a new global treaty that the world's nations hope to negotiate in the fall."
NYT GW 27,Can I Clean Your Clock?,THOMAS L. FRIEDMAN,"Over the past decade, whenever I went to China and engaged Chinese on their pollution and energy problems, inevitably some young Chinese would say: ''Hey, you Americans got to grow dirty for 150 years, using cheap coal and oil. Now it is our turn.'' 
  It's a hard argument to refute. Eventually, I decided that the only way to respond was with some variation of the following: ''You're right. It's your turn. Grow as dirty as you want. Take your time. Because I think America just needs five years to invent all the clean-power technologies you Chinese are going to need as you choke to death on pollution. Then we're going to come over here and sell them all to you, and we are going to clean your clock -- how do you say 'clean your clock' in Chinese?  --  in the next great global industry: clean power technologies. So if you all want to give us a five-year lead, that would be great. I'd prefer 10. So take your time. Grow as dirty as you want.'' 
  Whenever you frame it that way, Chinese are quizzical at first, and then they totally get it: Wow, this energy thing isn't just about global warming! In a world that is adding one billion people every 15 years or so  --  more and more of whom will be able to live high-energy-consuming lifestyles  --  the demands for energy and natural resources are going to go through the roof. Therefore, E.T.  --  energy technologies that produce clean power and energy efficiency  --  is going to be the next great global industry, and China needs to be on board. 
  Well, China has gotten on board  --  big-time. Now I am worried that China will, dare I say, ''clean our clock'' in E.T. 
  Yes, you might think that China is only interested in polluting its way to prosperity. That was once true, but it isn't anymore. China is increasingly finding that it has to go green out of necessity because in too many places, its people can't breathe, fish, swim, drive or even see because of pollution and climate change. Well, there is one thing we know about necessity: it is the mother of invention. 
  And that is what China is doing, innovating more and more energy efficiency and clean power systems. And when China starts to do that in a big way  --  when it starts to develop solar, wind, batteries, nuclear and energy efficiency technologies on its low-cost platform  --  watch out. You won't just be buying your toys from China. You'll be buying your energy future from China.
  ''China is moving,'' says Hal Harvey, the chief executive of ClimateWorks, which shares clean energy ideas around the world. ''They want to be leaders in green technology. China has already adopted the most aggressive energy efficiency program in the world. It is committed to reducing the energy intensity of its economy  --  energy used per dollar of goods produced  --  by 20 percent in five years. They are doing this by implementing fuel efficiency standards for cars that far exceed our own and by going after their top thousand industries with very aggressive efficiency targets. And they have the most aggressive renewable energy deployment in the world, for wind, solar and nuclear, and are already beating their targets.''
  Here's the key point on energy from the draft report of the president's Economic Recovery Advisory Board: ''If the U.S. fails to adopt an economywide carbon abatement program, we will continue to cede leadership in new energy technology. The U.S. is now home to only two of the ten largest solar photovoltaic producers in the world, two of the top ten wind turbine producers and one of the top ten advanced battery manufacturers. That is, only one-sixth of the world's top renewable energy manufacturers are based in the United States. ... Sustainable technologies in solar, wind, electric vehicles, nuclear and other innovations will drive the future global economy. We can either invest in policies to build U.S. leadership in these new industries and jobs today, or we can continue with business as usual and buy windmills from Europe, batteries from Japan and solar panels from Asia.''
  Indeed, if you look at those top 10 lists, compiled by Lazard, the investment bank, Japanese companies have the most, then Europe, then China  --  then us.
  This is a major reason I favor the climate/energy bill passed by the House. If we do not impose on ourselves the necessity to drive innovation in clean-technology  --  by imposing the right prices on carbon emissions and the right regulations to promote energy efficiency  --  we will be laggards in the next great global industry. 
  And this is why I disagree with President Obama when he signals that he has to focus on extending health care and put the energy/climate bill  --  now in the Senate  -- on the backburner. 
  Health care and the energy/climate bill go together. We need both now. Imagine how poor we would be today if U.S. firms did not dominate the top 10 Internet companies. Well, if we don't dominate the top 10 E.T. rankings, there is no way we are going to be able to afford decent health care for every American. No way."
NYT GW 28,A Lesson on Warming,,"President Obama had hoped to emerge from this week's Group of 8 summit meeting in Italy with a tentative agreement uniting rich and developing nations in a common fight against global warming. Instead he got a lesson on how divided the world remains on the issue -- and how hard he will have to work to pull off an agreement.  
  Mr. Obama was clearly eager to restore America's leadership role. He convened a special side meeting of 17 nations -- the G-8 plus China, India and seven other developing nations -- that together emit 80 percent of the world's greenhouse gases. 
  Before the leaders gathered, their negotiators had already settled on a draft communique, committing to a 50 percent cut in worldwide greenhouse gas emissions by 2050. The industrial countries would cut theirs by 80 percent, and the developing countries would make ''significant'' if unquantified cuts. But on Wednesday, things fell apart. The developing nations flatly refused to commit to the 50 percent goal by 2050. 
  It was not immediately clear why they balked. Some repeated an old demand: that the United States and the other industrialized nations -- which bear responsibility for the buildup of greenhouse gases since the beginning of the industrial revolution -- should do more and do it faster. Otherwise, the developing nations would be left with an unfair share of the burden while their economies were expanding rapidly.
  What is clear is that Mr. Obama and the other leaders of the developed world have yet to come up with the right mixture of pressure and incentives to get the developing countries to commit. 
  The 17 nations did agree to an ''aspirational'' goal of preventing global temperatures from rising more than 3.6 degrees Fahrenheit. But with global climate talks in Copenhagen only five months away, aspirational goals won't carry things very far.
  If there is any chance of pulling this off, the developed countries are going to have to take away all excuses from China, India and other developing nations. The Europeans have already committed to deep cuts in their emissions. The United States is doing a lot better under Mr. Obama, but it is still lagging. 
  The House's climate change bill requires emissions reductions of only 17 percent from 2005 levels by 2020. (The Europeans have pledged themselves to a 20 percent reduction from a much earlier base line, which will require much more aggressive cuts.) 
  We know that getting the Senate to do as well as the House won't be easy. But Mr. Obama will have to press them to do even better. 
  Mr. Obama should also continue to talk to the Chinese, who are now the world's leading emitters of greenhouse gases. A host of top administration officials, Secretary of State Hillary Rodham Clinton included, have made the pilgrimage to Beijing. 
  The Europeans are concerned that Mr. Obama and the Chinese will cut a less ambitious side deal and undercut a worldwide agreement. There is no evidence to support those suspicions. Mr. Obama, like the Europeans, says he wants a strong deal to bring down emissions. Without China's participation, the fight against global warming is essentially lost."
NYT GW 30,The Climate and National Security,,"One would think that by now most people would have figured out that climate change represents a grave threat to the planet. One would also have expected from Congress a plausible strategy for reducing the greenhouse gas emissions that lie at the root of the problem.  
  That has not happened. The House has passed a climate bill that is not as strong as needed, but is a start. There are doubts about whether the Senate will pass any bill, given the reflexive opposition of most Republicans and unfounded fears among many Democrats that rising energy costs will cripple local industries.
The problem, when it comes to motivating politicians, is that the dangers from global warming -- drought, famine, rising seas -- appear to be decades off. But the only way to prevent them is with sacrifices in the here and now: with smaller cars, bigger investments in new energy sources, higher electricity bills that will inevitably result once we put a price on carbon. 
  Mainstream scientists warn that the longer the world waits, the sooner it will reach a tipping point beyond which even draconian measures May not be enough. Under one scenario, atmospheric concentrations of greenhouse gases, now about 380 parts per million, should not be allowed to exceed 450 parts per million. But keeping emissions below that threshold will require stabilizing them by 2015 or 2020, and actually reducing them by at least 60 percent by 2050.
  That is why Rajendra Pachauri, the head of the Intergovernmental Panel on Climate change -- no alarmist -- has warned that ''what we do in the next two or three years will determine our future.'' And he said that two years ago.
  Advocates of early action have talked about green jobs, about keeping America competitive in the quest for new technologies, and about one generation's moral obligation to the next. Those are all sound arguments. They have not been enough to fully engage the public, or overcome the lobbying efforts of the fossil fuel industry. 
  Proponents of climate change legislation have now settled on a new strategy: warning that global warming poses a serious threat to national security. Climate- induced crises like drought, starvation, disease and mass migration, they argue, could unleash regional conflicts and draw in America's armed forces, either to help keep the peace or to defend allies or supply routes.
  This is increasingly the accepted wisdom among the national security establishment. A 2007 report published by the CNA Corporation, a Pentagon-funded think tank, spoke ominously of climate change as a ''threat multiplier'' that could lead to wide conflict over resources. 
  This line of argument could also be pretty good politics -- especially on Capitol Hill, where many politicians will do anything for the Pentagon. Both Senator John Kerry, an advocate of strong climate change legislation, and former Senator John Warner, a former chairman of the Armed Services Committee, say they have begun to stress the national security argument to senators who are still undecided about how they will vote on climate change legislation. 
  One can only hope that these arguments turn the tide in the Senate. Mr. Kerry, Mr. Warner and like- minded military leaders must keep pressing their case, with help from the Pentagon and the White House. National security is hardly the only reason to address global warming, but at this point anything that advances the cause is welcome."
