"","","","","","","",""
"try to bring coubtry tofwthwr creaet jobs trting tk to worko get people bac that all","","","47 persxent flip foppibg likes truthful speaking","trying to pull together as a democracy","not a solid grouo the blue dog","","i seem allt of racism"
"he has qulification to be a leader things he has accomplished he is qualified to be a leader for women rights doing something for middle class","","","everthing not qualified to be a leader of the nation women rights disrespective very","always been a democratic they are fair especially for middle class and keep door open for the middle class","","","have always beeb for the rich keep people down they tell lies ungodly lies"
"tried to help people with insurance","","","","more favorable for us for everbody","","",""
"his vision for the way our government should lead our country his policy on taxing the middle class no","","he comes across as he could be a leader no","his social views his tax plan view on education funding no","their social views no the fact that it s a more liberal outlook on society which filters into all aspects of our society no","","","their conservative views no i dont believe in physical conservative or social conservative no"
"he s in bible he s a democrat","","","","good oeople","","",""
"he s smart background great great education father father thus band great","","","","fair","","",""
"he is trying to get country back and is doing a great job","","","he is not for the peple","they care about you","","","they lack feelings just for the rich"
"he black done fairlly well this year","","","democrat and he is republican","they have better ideas for health carea nd better way to mangabe eht economy","","","they seem to focus on upper class and upper iddle class and not the lower class"
"on the internet said he was goning to disclose about the ufos to declassify the info for ufos as a candidate was one thing but as a president he couldnt like bill clinton dicasify info about ufos","not eliminatin the nation deficiate","reducing taxes for small busness","would reduce taxex too much and not be able to reduce the deficit","they are consious of the clasess lower and middle clas","they are more in touch w the emoninalla and not the head","conservitive econic and financial polocies","they have a rep of puutung profits and people last"
"","un clear fiscal and or tax policies no","","he is disconnected from the american people hard for him to relate to and understand majority of americans concerning economics i think international experience is really weak and beginning to show his misunderstanding is beginning to show more no","they seem to be more interested in the individuals or the people of the country as opposed to treatment of corporations as individuals no","a seeming increase in entitlement spending inability to tell the truth without spin no","their theoretical fiscal policy limited federal spending and less federal taxes no","obstructionism preferred over compromise seems to have been hijacked by religious zealots fairly hypocritical regarding govt spending arounfd corporate entitlements the republican spin machine seems to rival if not out weigh that of the democrat spinmachine no"
"","","his political party they are conservative no","","","","",""
"his support for the middle class interest in education jobs and health care for those who can t afford it no","does not think he has done as much as he could have economy healthcare no","","i don t think he will help the middle class or the poor education taxes i don t have strong feeling but do have some feelings to support some kinds of abortions and gay rights no","programs to help people food stamps educational loans disasters no","to a large extent they have gotten involved in minority issues that have caused problems border patrol not providing opportunities for citizenship for certain illegals like the children of illegals who have been sent back to their countries no","","they seem to be zeroing in on tax benefits for the rich they are falsely attacking or blaming the president and govt for problems no"
"give him another chance to make it right middle class needs to work no","","he s a good talker smooth self confident no","","","","",""
"","do not think he is honest and he did not achieve any of his campaign promises jobs have not increased and unemployment has risen do not like health care plan don t think he supports the u s and r wants more efficient govt not a bigger one no","he brings exstensive business experience to the table feel he would represent the us interests well seems to love the country doews not want bigger govt no","","","the programs of the democratic party promote dependence and a lack of motivation for citizens to help themselves sees a contradiction they talkk about money as if it was bad but many supporters have lots of money that seems to be a dichotomy ie george clooney has as much money as mitt romney doe not think they mean what they say no","probably family values the way they think is more aligned with r s beliefs no","they are not united mis steps are not allowed they do not always support each other very old school they need to look at things differently get away from the good old boy club no"
"","do not think his best interests are for the united states price of gas has more than doubled since he took office national debt has gone up over a 100 percent printing too much money no","he has run a business before and nderstands you can t spend more than you make no","","","just the idea that government should subsidize people that we owe them a living no","they claim they want to create more jobs and get rid of the subsidies no","sometimes the party doesn get done what they say they are going to do"
"","his economic policies are not good his forgein policy is weak running national debt up socialized medicine energy policies no","romney has the opposite view of obama in regards to economix policy like paul ryan a lot fiscally conservative since r has small children no","","","basically socialists r has a problem with socialism it does not work no","likes the faction odf the party that is conservative the ronald reagan conservatives ie paul ryan","don t like the republican party members that claim to be conservative but really are not called rhinos no"
"just like what he is doing think he is doing a good job running the country no","","","do not think he is truthful do not think he is a good candidate no","they are more fair no","","",""
"","he wznts to cut back medicaid no","","the medicaid for older people he wants to end it no","they are doing what the people need done health care medcaid no","","",""
"he knows what he is talking about he has done a lot for the disabled he passed law for handicapped stickers on parking no","","","big mouth he is not focused on any issues no","","","",""
"he is trying to do a good job health care no","the going behind close doors to pass a bill has turned me off him visiting all this the middke eastern countries and completely ignoring isral 4 plus trillion spending no","less spending and his foriegn policy i like what he wanrs to do and not what obama did no","his personality tax cuts has me iffy i dont believe in all the tax cuts for the wealthy more money in good jobs and more money once education no","gay rights letting a man chose his rights no restrictions on how a man feels no religious views on politics no","too much spending the welfare program needs to be changed they give too many handouts no","their more constit for less government more concern on state not fededal no","they are off their foudation their base more big government more worried about religion and abortion and there are more major issues no"
"","i ddontt like hhiimm he iss makkiing tthhee worlld hoorrrribble andd rraissingg ttaxes tthaatt ppeoplle on ddisbliittiyytyy caan t afforrdd nno","","","","","",""
"","i have not seen a lot thathas chznged since he has been in office expected the economy to get better haven seen any movement no","","","","they seem to have a hard time getting along with the republiczns in the cabinet tbe national debt the ratinv on the crexut score they could not decide or get along it gotclose to the deadline no","",""
"","","","","because i was raised that way social programs no","","",""
"","not happy about his views on hunting guns and religion","i like his views on health care no","he flip flops from time to time on issues health no","","","",""
"","","","","","","",""
"","the last 4 years we are in worst condition than 4 yrs ago obamacare no","like what he says about getting the economy back middle class and small business getting back to work no","","they are always for the poor and working people no","","they are against abortion no",""
"","he is a democrat health care plan is costing ys and people cant afford the insurance no","he is more conservative and he knows how to work with the other side like he did in his home state wirh al democrats he knows how to run a business no","","","they like to keep tge social programs and dont investigation when they are being abused becauae they might lose their jobs are their salaries no","i think they are honest i e they will work to let people run their own business and not regulate farm lands and wetlands no","i dont think they are as feeling and warm to issues that help the ordinary people in general they are more for or their agenda to do want they want and what falls by the way so be no"
"he made some good issues on tax reform he talking about reestabling medicare no","obamacare i care anything for that no","","he is for the rich man and not the middle man his views ars not like everybody else rising taxes no","","everything they doing because they are swerking up the economy no","",""
"ithibk he needs to have two twrms its important to end the war","","","dst hv prospective dsnt understand middle class hegot oualuicins he nfocused duplicities hs no focus","","there not doing thete job hey had hane and blew it far too passive","","they spent attacking current president not doing there job lost focus"
"he has a slow and steady approach to managing the crisis we have been in and appears to want long term solutions instead of short term fixes i respect and like the idealoguy of the democratic party which has not always been the case and the party that he is representing looks like america","if he for some reason he seems to loose his zest for the job i was not happy with his performance in the last debate and the debate mattered to me","","his comments about the 47 percent of americans not being valid and the fact that the numbers for the cuts in programs that he says does not add up and i can not see how he is going to get the revenue to make the situation better than it is those are so strong i actaullay don t know if he is a moderate conservative or extreme conservative the extreme conservative part of the republican party scares","the party seems to have sstronger palnatform that expresses the needs of most of american the party looks like american they seem to have takne on the more compansiinite way of talkig to people in the countyr you feel like yu can go there and people will listen even if there are some contraist to act considering tht i am a women i feel they have my best itnerst at hear i want this county to spend more resorces within this county i want to see the roads fixed ithe infrastructure before people are killed building the roead will help people get work if we don t help the blue back of this country and help them bring money into their homes we are going to collapse as a nationa","i am sometimes disappointed with their relationships wiht labor unions i think laor unions have complicated and inflated the cost of things that would help american get back to work i understand the basis for some of their work and i think they have gone overboard and i certainly don t believe them being n the teaching profession i thin the labor unions associated with education have puttoo many rules in place with not weeding out tenue teachers that are not good and our children suffer i feel like their should be an option to join or not join the cost of them driving up the service costs is a problem and i ahve seen it more in the news and actually in this city no","fical conservatist their support of the military seems stronger at times i like the fact that they initially had more women at high in their party those are my strongest 3 points","i do not like the extreme conservatism that appears to be racist here in ca in redacted city name one of the republican leaders sent out an e mail redacted details and it was sent from their office i find this distest disrepectful and i do not see the disrespect that i am seeing from the other party i did not see this when president bush was president there is a contract that was signed with the republican party members which adheres them to an extreme point of view and they can not compromise and i think this is what has caused the deadlock in congress so they can not do what their constituency wants and they want to do what the people want them to do they seem to have a pack mentality when they don t like someone and i am shocked"
"","","","","because they are helping the poor because i know the republican is for the rich people they are fair being fair","","",""
"teying to do something with medicre","the debate thru me","","dsnt care of half the population","they try to help all people","","","inly for rich"
"no es racista","","","se ve que es racista","","","",""
"ha tratado de apoyar a los democratas por parte de la union participo activamente en la campana anterior no quisiera apoyar nuevamente a gloria molina","lo poco que hizo para ayudar a los inmigrantes","","","han tratado de ser mas parejos con las minorias y las altas clases","cosidero que pueden hacer mas por la gente","hacen politicas que ayudan a las personas","que se pongan en contra de las minorias"
"","healthcare social security and the undemployment rate i think that the american people should make their own choices and not made to pay at the end of the year for medical charges no that s about it","he has some new ideas which in particular i can t think of no","his financial plan is not quite clear i m a little aprehensive by the fact that he is a mormon since i believe in reliegious freedom but i am surprised that he has a catholic for a vice president i m in shock no that ll be it","","same as the republican they have been involved in the country too long that s it","","their involvement in the country has been far too long no"
"tried to resolve the health issue and education","taxes are going up health insurance issue","he mentioned that he is gonna put more work force and he would reduce taxes","he is looking for the benefits of the corporations","they focus on the education","","they help the corporations to develope work","they are selfish"
"he assuring us that he will help us where is needed the economy gay marriages the school funds he made history being the first black president thats it","","","he said a quote that he said that he was not going to hellp the people thats it","","","",""
"i think he s a great president no","","","he s republican no","","","","i think the re more focused on the rich no"
"he still willing to help the latino with thier licenses and trying to get there papers","","","hes not really wanting to help the hispanics","","","",""
"","uncontrolled government spending increase of national debt without a plan to reduce it weaken our military which i feel it will make us more at risk for terrorism no real plan for trying to reduce the deficit overall disregard for what we are leavingfor our children that s it","success as a governor ssuccessful businessman not raising taxes on the middle class a plan for creating more jobs controlling government spending wants to put more power in the states less power on the federal government that s it","","","lack of understanding for increasing jobs and reducing national debt big government spending especially at the time when we have so many people without employment it s a total disregard for the people who have elected them willing to save social programs by increasing taxes on the middle class lack of understanding that small business produce a tremendous amount of employment and they want to tax small businesses at a higher rate that s it","discentralizing government strong policies for monitoring taxes for an increasing employment increasing national security strong economic policies controling government spending and that s all i can think of right now",""
"i believe barack obama holds the best interest for the welfare of the united states of america he is trying to stabilize the economy and he s trying to help stabilize the middle east with his foreign policies and he is calm cool and collected i just like him","","","i think he s going to be a little agressive in his policies and i think he will help business but at the cost of not helping all of the middle class that s about it","i like that the democratic party does its best to help the middle class and has a vision to help most people in america i like the ideals behind the democratic party in trying to unite the country that s enough","i don t like some democrats who are democratic in name but don t carry forth the policies they were voted into changing their mind being too fluctuating for example jerry brown who s not doing the right thing for california","well i like some of their policies to help america i think they re good intentioned and some have good intentions for the country as far as congressmen go i also believe to an extent that too much government is not always the best for businesses to succeed in america that s all","too conservative some of them are too narrow minded can t think out of the box ie the tea party sarah palin they re too simplistic about some ideas too black and white they don t look at the gray area where most of the truth lies that s enough fornow"
"i just feel that a president in general needs more than 4 years i don t feel that any president in general can do anything in 4 years healthcare specifically that s about it","","","","for me personally i think i can relate and connect more with their policies no","","i think that some of their more conservative views could be beneficial their policies no",""
"","his lack of skill his lack of knowledge of foreign affairs his bypassing the cabinet not drilling gave our tax dollars to his big benefactors that s it","his business and leadership experience his decisiveness in foreign affairs his strenghten of the military there s a lot but i think that sums it all up am i too late getting rid of obamacare it s not as good as he s making it out to be people aregoing to find out too late and his views on abortion that s it","","","they lie they lie about the money situation national security our healthcare jobs that sums it up","i think that i like that they re trying to get us finacially back on track i think that they want a stronger military that s about it right now","they don t speak up enough they lie as well that s all"
"women s right to choose no","the fact that he has not fullfil the promises that he said he would fulfill and that he should not get reelected if he did not fullfill them and the fact of not calling the most recent attack in libia not calling it terrorist attack after fourteen days and those families could not get any relief funding","the fact that he s actually ran a business and made it successful that s like the main point i feel this country should be run like a business in respect to money what s in the red and what s in the black yes","","their women s right to choose no","more government no","i would say less government no","women s right to choose for abortion issues no"
"","his foreign policy obamacare and his socialist leanings in my opinion anyway no that covers it","i hadn t thought about it concisive i don t like obamacare i preffer his more conservative viewpoint that would be it","knowing that i am going to vote for him i m a little concerned that he is a mormon but i don t like obama no","","tend to have pro abortion candidates more government spending programs and let me think and they tend to have a big brother attitude to the state and not supporting parent s rights less likely to support religious freedom i m talking about candidates in my opinion no","tends to be more conservative not a guarantee but tends to support the right to life tends to be more fiscally responsible right more financially responsible i think they also tend to support the parent s rights no","recently becoming or having more pro abortion candidates and less distinctive from the democratic candidates recently no"
"","his socialist views his increased of our national debt by trillions of dollars those are the two at the top of my head","his decrease tax brackets his small business growth strategies that s it","he s a mormon no","i like a few of their welfare programs community at the state level cash for clunckes i mean those kinds of programs were beneficial no","i don t like their raise taxes i don t know if it s the democrats or obama but i don t like their healthcare reform program no","i like their focus on economic growth lower tax rates attention to fiscal responsibility in government spending no",""
