"","","","","","","",""
"try to bring coubtry tofwthwr creaet jobs trting tk to worko get people bac That all","","","47 persxent flip foppibg likes truthful speaking","trying to pull together as a democracy","not a solid grouo the blue dog","","i seem allt of racism"
"He has qulification to be a leader things he has accomplished he is qualified to be a leader for women rights doing something for middle class","","","Everthing not qualified to be a leader of the nation women rights disrespective very","Always been a democratic they are fair especially for middle class and keep door open for the middle class","","","have always beeb for the rich keep people down they tell lies ungodly lies"
"tried to help people with insurance","","","","more favorable for us for everbody","","",""
"His vision for the way our government should lead our country His policy on taxing the middle class No","","He comes across as he could be a leader No","His social views his tax plan view on education funding NO","Their social views No The fact that it s a more liberal outlook on society which filters into all aspects of our society No","","","Their conservative views No I dont believe in physical conservative or social conservative No"
"he s in Bible he s a democrat","","","","good oeople","","",""
"He s Smart Background great Great Education Father Father thus band great","","","","Fair","","",""
"he is trying to get country back and is doing a great job","","","He is not for the peple","they care about you","","","They lack feelings just for the rich"
"he black done fairlly well this year","","","Democrat and he is republican","They have better ideas for health carea nd better way to mangabe eht economy","","","they seem to focus on upper class and upper iddle class and not the lower class"
"ON THE INTERNET SAID HE WAS GONING TO DISCLOSE ABOUT THE UFOS TO DECLASSIFY THE INFO FOR UFOS AS A CANDIDATE WAS ONE THING BUT AS A PRESIDENT HE COULDNT LIKE BILL CLINTON DICASIFY INFO ABOUT UFOS","NOT ELIMINATIN THE NATION DEFICIATE","REDUCING TAXES FOR SMALL BUSNESS","WOULD REDUCE TAXEX TOO MUCH AND NOT BE ABLE TO REDUCE THE DEFICIT","THEY ARE CONSIOUS OF THE CLASESS LOWER AND MIDDLE CLAS","THEY ARE MORE IN TOUCH W THE EMONINALLA AND NOT THE HEAD","CONSERVITIVE ECONIC AND FINANCIAL POLOCIES","THEY HAVE A REP OF PUUTUNG PROFITS AND PEOPLE LAST"
"","Un clear fiscal and or tax policies no","","He is disconnected from the American people hard for him to relate to and understand majority of Americans concerning economics I think international experience is really weak and beginning to show His misunderstanding is beginning to show more no","They seem to be more interested in the individuals or the people of the country as opposed to treatment of corporations as individuals no","A seeming increase in entitlement spending inability to tell the truth without spin no","Their theoretical fiscal policy limited federal spending and less federal taxes no","Obstructionism preferred over compromise seems to have been hijacked by religious zealots fairly hypocritical regarding govt spending arounfd corporate entitlements the republican spin machine seems to rival if not out weigh that of the democrat spinmachine no"
"","","His political party They are conservative no","","","","",""
"His support for the middle class interest in education jobs and health care for those who can t afford it no","Does not think he has done as much as he could have economy healthcare no","","I don t think he will help the middle class or the poor education taxes I don t have strong feeling but do have some feelings to support some kinds of abortions and gay rights no","Programs to help people food stamps educational loans disasters no","To a large extent they have gotten involved in minority issues that have caused problems border patrol not providing opportunities for citizenship for certain illegals like the children of illegals who have been sent back to their countries no","","They seem to be zeroing in on tax benefits for the rich they are falsely attacking or blaming the president and govt for problems no"
"Give him another chance to make it right Middle class needs to work no","","He s a good talker smooth self confident no","","","","",""
"","Do not think he is honest and he did not achieve any of his campaign promises jobs have not increased and unemployment has risen do not like health care plan Don t think he supports the U S and R wants more efficient govt not a bigger one no","He brings exstensive business experience to the table Feel he would represent the US interests well seems to love the country doews not want bigger govt no","","","The programs of the democratic party promote dependence and a lack of motivation for citizens to help themselves Sees a contradiction they talkk about money as if it was bad but many supporters have lots of money that seems to be a dichotomy ie George clooney has as much money as Mitt Romney Doe not think they mean what they say no","Probably family values the way they think is more aligned with R s beliefs no","They are not united mis steps are not allowed they do not always support each other very old school they need to look at things differently get away from the good old boy club no"
"","Do not think his best interests are for the United States Price of gas has more than doubled since he took office national debt has gone up over a 100 percent printing too much money no","He has run a business before and nderstands you can t spend more than you make no","","","Just the idea that government should subsidize people that we owe them a living no","They claim they want to create more jobs and get rid of the subsidies no","Sometimes the party doesn get done what they say they are going to do"
"","His economic policies are not good his forgein policy is weak running national debt up socialized medicine energy policies no","Romney has the opposite view of Obama in regards to economix policy Like Paul Ryan a lot fiscally conservative since R has small children no","","","Basically socialists R has a problem with socialism it does not work no","Likes the faction odf the party that is conservative the Ronald Reagan conservatives ie Paul ryan","Don t like the republican party members that claim to be conservative but really are not called rhinos no"
"Just like what he is doing think he is doing a good job running the country no","","","Do not think he is truthful Do not think he is a good candidate no","They are more fair no","","",""
"","he wznts to cut back medicaid no","","the medicaid for older people he wants to end it no","they are doing what the people need done health care medcaid no","","",""
"he knows what he is talking about he has done a lot for the disabled he passed law for handicapped stickers on parking no","","","big mouth he is not focused on any issues no","","","",""
"he is trying to do a good job health care no","the going behind close doors to pass a bill has turned me off him visiting all this the middke eastern countries and completely ignoring Isral 4 plus trillion spending no","less spending and his foriegn policy i like what he wanrs to do and not what obama did no","his personality tax cuts has me iffy i dont believe in all the tax cuts for the wealthy more money in good jobs and more money once education no","gay rights letting a man chose his rights no restrictions on how a man feels no religious views on politics no","too much spending the welfare program needs to be changed they give too many handouts no","their more constit for less government more concern on state not fededal no","they are off their foudation their base more big government more worried about religion and abortion and there are more major issues no"
"","i ddontt like hhiimm he iss makkiing tthhee worlld hoorrrribble andd rraissingg ttaxes tthaatt ppeoplle on ddisbliittiyytyy caan t afforrdd nno","","","","","",""
"","i have not seen a lot thathas chznged since he has been in office expected the economy to get better haven seen any movement no","","","","they seem to have a hard time getting along with the republiczns in the cabinet tbe national debt the ratinv on the crexut score they could not decide or get along it gotclose to the deadline no","",""
"","","","","because i was raised that way social programs no","","",""
"","not happy about his views on hunting guns and religion","i like his views on health care no","he flip flops from time to time on issues health no","","","",""
"","","","","","","",""
"","the last 4 years we are in worst condition than 4 yrs ago obamacare no","like what he says about getting the economy back middle class and small business getting back to work no","","they are always for the poor and working people no","","they are against abortion no",""
"","he is a democrat health care plan is costing ys and people cant afford the insurance no","he is more conservative and he knows how to work with the other side like he did in his home state wirh al democrats he knows how to run a business no","","","they like to keep tge social programs and dont investigation when they are being abused becauae they might lose their jobs are their salaries no","i think they are honest i e they will work to let people run their own business and not regulate farm lands and wetlands no","i dont think they are as feeling and warm to issues that help the ordinary people in general they are more for or their agenda to do want they want and what falls by the way so be no"
"he made some good issues on tax reform he talking about reestabling medicare no","obamacare i care anything for that no","","he is for the rich man and not the middle man his views ars not like everybody else rising taxes no","","everything they doing because they are swerking up the economy no","",""
"Ithibk he needs to have two twrms its important to end the war","","","Dst hv prospective dsnt understand middle class HEgot oualuicins he nfocused Duplicities hS NO FOCUS","","there not doing thete job hey had hane and blew it far too passive","","they spent attacking current president not doing there job lost focus"
"He has a slow and steady approach to managing the crisis we have been in and appears to want long term solutions instead of short term fixes I respect and like the Idealoguy of the Democratic party which has not always been the case And the party that he is representing looks like America","If he for some reason he seems to loose his zest for the job I was not happy with his performance in the last debate And the debate mattered to me","","His comments about the 47 percent of Americans not being valid And the fact that the numbers for the cuts in programs that he says does not add up and I can not see how he is going to get the revenue to make the situation better than it is Those are so strong I actaullay don t know if he is a Moderate Conservative or Extreme Conservative The Extreme Conservative part of the Republican party scares","The party seems to have sstronger palnatform that expresses the needs of most of american the party looks like american they seem to have takne on the more compansiinite way of talkig to people in the Countyr You feel like yu can go there and people will listen even if there are some contraist to act Considering tht I am a women I feel they have my best itnerst at hear I want this county to spend more resorces within this county I want to see the roads fixed ithe infrastructure before people are killed Building the roead will help people get work If we don t help the blue back of this country and help them bring money into their homes we are going to collapse as a nationa","I am sometimes disappointed with their relationships wiht labor unions I think laor unions have complicated and inflated the cost of things that would help American get back to work I understand the basis for some of their work and I think they have gone overboard and I certainly don t believe them being n the teaching profession I thin the labor unions associated with education have puttoo many rules in place with not weeding out tenue teachers that are not good and our children suffer I feel like their should be an option to join or not join The cost of them driving up the service costs is a problem and I ahve seen it more in the news and actually in this city No","Fical conservatist their support of the military seems stronger at times I like the fact that they initially had more women at high in their party those are my strongest 3 points","I do not like the extreme conservatism that appears to be racist Here in CA in REDACTED CITY NAME one of the Republican leaders sent out an e mail REDACTED DETAILS and it was sent from their office I find this distest disrepectful and I do not see the disrespect that I am seeing from the other party I did not see this when President Bush was President There is a contract that was signed with the Republican party members which adheres them to an extreme point of view and they can not compromise and I think this is what has caused the deadlock in Congress so they can not do what their constituency wants and they want to do what the people want them to do They seem to have a pack mentality when they don t like someone and I am shocked"
"","","","","Because they are helping the poor because I know the republican is for the rich people They are fair being fair","","",""
"TEYING TO DO SOMETHING WITH MEDICre","the debate thru me","","DSNT CARE OF HALF THE POPULATION","they try to help all people","","","inly for rich"
"No es racista","","","Se ve que es racista","","","",""
"HA TRATADO DE APOYAR A LOS DEMOCRATAS POR PARTE DE LA UNION PARTICIPO ACTIVAMENTE EN LA CAMPANA ANTERIOR nO QUISIERA APOYAR NUEVAMENTE A GLORIA MOLINA","LO POCO QUE HIZO PARA AYUDAR A LOS INMIGRANTES","","","HAN TRATADO DE SER MAS PAREJOS CON LAS MINORIAS Y LAS ALTAS CLASES","COSIDERO QUE PUEDEN HACER MAS POR LA GENTE","HACEN POLITICAS QUE AYUDAN A LAS PERSONAS","QUE SE PONGAN EN CONTRA DE LAS MINORIAS"
"","Healthcare social security and the undemployment rate I think that the American people should make their own choices and not made to pay at the end of the year for medical charges no that s about it","He has some new ideas which in particular I can t think of no","His financial plan is not quite clear I m a little aprehensive by the fact that he is a Mormon since I believe in reliegious freedom but I am surprised that he has a Catholic for a vice president I m in shock no that ll be it","","Same as the republican they have been involved in the country too long that s it","","Their involvement in the country has been far too long no"
"Tried to resolve the health issue and education","Taxes are going up health insurance issue","He mentioned that he is gonna put more work force and he would reduce taxes","He is looking for the benefits of the corporations","they focus on the education","","They help the corporations to develope work","They are selfish"
"He assuring us that he will help us where is needed the economy gay marriages the school funds he made history being the first black president thats it","","","He said a quote that he said that he was not going to hellp the people thats it","","","",""
"I think he s a great president no","","","He s republican No","","","","I think the re more focused on the rich no"
"he still willing to help the latino with thier licenses and trying to get there papers","","","hes not really wanting to help the hispanics","","","",""
"","Uncontrolled government spending increase of national debt without a plan to reduce it weaken our military which I feel it will make us more at risk for terrorism no real plan for trying to reduce the deficit overall disregard for what we are leavingfor our children that s it","Success as a governor ssuccessful businessman not raising taxes on the middle class a plan for creating more jobs controlling government spending wants to put more power in the states less power on the federal government that s it","","","Lack of understanding for increasing jobs and reducing national debt big government spending especially at the time when we have so many people without employment it s a total disregard for the people who have elected them willing to save social programs by increasing taxes on the middle class lack of understanding that small business produce a tremendous amount of employment and they want to tax small businesses at a higher rate that s it","Discentralizing government strong policies for monitoring taxes for an increasing employment increasing national security strong economic policies controling government spending and that s all I can think of right now",""
"I believe Barack Obama holds the best interest for the welfare of the United States of America He is trying to stabilize the economy and he s trying to help stabilize the Middle East with his foreign policies and he is calm cool and collected I just like him","","","I think he s going to be a little agressive in his policies and I think he will help business but at the cost of not helping all of the middle class that s about it","I like that the democratic party does its best to help the middle class and has a vision to help most people in America I like the ideals behind the democratic party in trying to unite the country that s enough","I don t like some democrats who are democratic in name but don t carry forth the policies they were voted into changing their mind being too fluctuating for example Jerry Brown who s not doing the right thing for California","Well I like some of their policies to help America I think they re good intentioned and some have good intentions for the country as far as congressmen go I also believe to an extent that too much government is not always the best for businesses to succeed in America that s all","Too conservative some of them are too narrow minded can t think out of the box ie the Tea Party Sarah Palin They re too simplistic about some ideas too black and white they don t look at the gray area where most of the truth lies that s enough fornow"
"I just feel that a president in general needs more than 4 years I don t feel that any president in general can do anything in 4 years healthcare specifically that s about it","","","","For me personally I think I can relate and connect more with their policies no","","I think that some of their more conservative views could be beneficial their policies no",""
"","His lack of skill his lack of knowledge of foreign affairs his bypassing the cabinet not drilling gave our tax dollars to his big benefactors that s it","His business and leadership experience his decisiveness in foreign affairs his strenghten of the military there s a lot but I think that sums it all up am I too late getting rid of Obamacare it s not as good as he s making it out to be people aregoing to find out too late and his views on abortion that s it","","","They lie they lie about the money situation national security our healthcare jobs that sums it up","I think that I like that they re trying to get us finacially back on track I think that they want a stronger military that s about it right now","They don t speak up enough they lie as well that s all"
"Women s right to choose no","The fact that he has not fullfil the promises that he said he would fulfill and that he should not get reelected if he did not fullfill them and the fact of not calling the most recent attack in Libia not calling it Terrorist attack after fourteen days and those families could not get any relief funding","The fact that he s actually ran a business and made it successful that s like the main point I feel this country should be run like a business in respect to money what s in the red and what s in the black yes","","Their women s right to choose no","More government no","I would say less government no","Women s right to choose for abortion issues no"
